#separator:comma,,,,,,,,,,,,,,
#html:true,,,,,,,,,,,,,,
#deck column:1,,,,,,,,,,,,,,
#tags column:15,,,,,,,,,,,,,,
#columns:Deck,Word,EntryUUID,CardUUID,PartOfSpeech,Grammar,PronunciationIPA,WordAudioURL,DefinitionHTML,Example1HTML,Example2HTML,Example3HTML,Example4HTML,Example5HTML,Tags
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,22b4695c-7fe3-54e0-aea9-6558a0b49633,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used to indicate the type of musical instrument someone plays,She plays <em>the</em> guitar.,,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,43231559-0193-5c38-918e-c54ef81774d5,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used before an adjective that is being used as a noun to refer to all of the people or things that have a particular quality,<em>the</em> rich,<em>the</em> homeless,<em>the</em> British,<em>the</em> living and <em>the</em> dead,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,a2b9d560-2fa2-5408-b8f0-7d00656a81a5,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used before a plural noun to indicate that every person or thing of the kind specified is included,<em>the</em> Greeks and <em>the</em> Romans,<em>The</em> newspapers covered the story.,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,b94f9be8-33b0-5c59-931b-c1117fd82fe5,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used before the plural form of a person's last name to indicate that all the members of the family are included,<em>the</em> Smiths,,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,fbfc350d-c0b2-5d1b-b959-36b016b5fa25,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used to indicate that a person or thing is the best of its kind,"This is <em>the</em> life. [=this is the way I want to live; this is a very enjoyable way to live, spend time, etc.]","I think he's <em>the</em> one (for me), and I want to marry him.",He is <em>the</em> person [=the right person] for the job.,This seems to be <em>the</em> place to be.,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,7b68c310-f2ae-530b-b21f-0febe7fa0a29,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used to indicate the most famous person having a particular name This sense of <em>the</em> is emphasized in speech.,"""I saw Julia Roberts when I was in L.A."" ""You saw <em>the</em> Julia Roberts, the famous actress?""",,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,e5cb4e0e-8a42-5e6c-af30-d6f3801838a8,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used to refer in a general way to a specific type of activity,<em>the</em> law,<em>the</em> arts and sciences,<em>the</em> publishing industry,I love <em>the</em> opera.,<em>the</em> cinema,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,366d4be7-b4e5-54e6-b484-c986c320d609,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used to refer to a part of your body or clothing,How's <em>the</em> [=<em>your</em>] arm feeling today?,He grabbed me by <em>the</em> [=<em>my</em>] sleeve.,She led him by <em>the</em> [=<em>his</em>] hand.,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,3bd8a714-8e9b-5738-a0d4-820effc1e436,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,"used before a noun that refers to a person's family, job, health, etc.",How is <em>the</em> [=<em>your</em>] family?,I have to talk the offer over with <em>the</em> [=<em>my</em>] wife.,Is <em>the</em> job going well?,How's <em>the</em> headache?,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,a57550ee-921a-5113-9dea-9d7c1ece14c2,verb,linking verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used to indicate the identity of a person or thing,Today <em>is</em> Wednesday.,John <em>is</em> my brother.,The first person I met <em>was</em> Susan. = Susan <em>was</em> the first person I met.,Who <em>are</em> you?,"""There's someone at the door."" ""Who <em>is</em> it?"" ""It'<em>s</em> David.""",COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,26732f44-0ff4-5c82-88c2-7c1212d8dfe1,verb,linking verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used to describe the qualities of a person or thing,My hands <em>are</em> cold.,He <em>is</em> 35 years old and six feet tall.,I'<em>m</em> hungry.,"The leaves <em>are</em> green, and so <em>is</em> the grass.",The noise <em>was</em> very loud.,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,3bac5afc-ed30-5493-adf9-ae0da7c073f7,verb,linking verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used to indicate the condition of a person or thing,"""Hi. How <em>are</em> you?"" ""Fine, thanks. How <em>are</em> you?""",How <em>is</em> your father? = How <em>is</em> your father's health?,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,cb7aae32-39cb-50cc-a93e-30f820bc2f18,verb,linking verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,"used to indicate the group, class, category, etc., that a person or thing belongs to",I'<em>m</em> a doctor and my sister <em>is</em> a lawyer.,That fish <em>is</em> a trout.,The trout <em>is</em> a (kind of) fish.,Apes <em>are</em> mammals.,She'<em>s</em> a hard worker. [=she works hard],COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,eb5384bc-9a30-58ee-ad51-926fb36c2e1d,verb,linking verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,"used to indicate the place, situation, or position of a person or thing",The book <em>is</em> on the table.,"""Where'<em>s</em> John?"" ""He'<em>s</em> in the living room.""",The house <em>is</em> past the bridge.,It was great <em>being</em> here. = It was great <em>to be</em> here.,I must <em>be</em> on my way. [=I must go],COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,95f0aae7-f176-5f6a-9d96-aaeced52de3c,verb,linking verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,"used in phrases with <em>there</em> to describe a situation, occurrence, etc.",<em>There is</em> a book on the table. [=a book is on the table],<em>There are</em> concerts several times a week. [=concerts are held several times a week],<em>There</em> will <em>be</em> concerts next week.,"""<em>There's</em> someone at the door."" ""Who is it?"" ""It's John.""",,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,affe7780-6424-5967-bb0e-4c83a309c8cf,verb,linking verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,"used in phrases with <em>it</em> to indicate a time or place or to describe a current, past, or future condition",<em>It's</em> 12 o'clock. [=the time is 12 o'clock],<em>It's</em> noon/early/late.,<em>It's</em> Wednesday today. [=today is Wednesday],<em>It was</em> noon when we arrived. [=we arrived at noon],<em>It was</em> here that I lost my way. [=I lost my way here],COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,b3a3b195-6005-5a67-a77c-e9389ef6400c,verb,linking verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used to say how much something costs,"""I like this painting. How much <em>is</em> it?"" [=how much does it cost?] ""<em>It's</em> 600 dollars."" [=it costs 600 dollars]",,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,577a9e42-49dc-5c1f-b85c-4e1ab2e0ffde,verb,linking verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used to say that one amount or number is the same as another,Three plus two <em>is</em> [=<em>equals</em>] five.,,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,70cc4072-77ec-50f2-9794-de206dcd086b,verb,no obj,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,to happen or take place,The concert <em>was</em> last night.,The concert <em>is</em> [=<em>will be</em>] tomorrow night. [=the concert will take place tomorrow night],"""When <em>was</em> the Battle of Waterloo?"" ""(It <em>was</em>) In 1815.""","""When <em>is</em> Christmas?"" ""<em>It's</em> on a Wednesday this year.""",,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,3f9713f3-efe5-53d6-934c-6853d8614bb4,verb,no obj,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,"to come or go used in perfect tenses People who have <em>been there, done that</em> are bored about the idea of going somewhere or doing something because they have already done it before. This is an informal phrase that is often used in a joking way.",She has already <em>been</em> [=<em>come</em>] and gone.,Have you ever <em>been</em> [=<em>gone</em>] to Rome?,I haven't <em>been</em> there for several years.,I've been waiting for you for half an hour. <em>Where have you been</em>? [=where were you?; why weren't you here?],"I suggested to my cousin that she go to Florida for her vacation, but she said, ""<em>Been there, done that</em>.""",COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,ad90067c-2aec-5ec6-acc0-350a12eeb699,verb,no obj,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,to exist or live,"I think, therefore I <em>am</em>. [=<em>exist</em>]",Once upon a time there <em>was</em> [=<em>lived</em>] a knight.,There once <em>was</em> a man who dwelt alone in a small village.,all the things that <em>are</em> [=<em>exist</em>],"""To <em>be</em>, or not to <em>be</em>: that is the question.""",COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,b8b1a19b-d267-58c6-9792-2a20ab20e34d,verb,auxiliary verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used with the past participle of a verb to form passive constructions,The money <em>was found</em> by a child.,They <em>were</em> [=<em>got</em>] <em>married</em> by a priest.,Don't <em>be fooled</em> by what he says.,Please <em>be seated</em>. [=please sit down],The election <em>was expected</em> to produce a very close result.,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,e6df3a9d-186d-5ab8-8985-ee5915694b14,verb,auxiliary verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used with the present participle of a verb to express continuous action,They <em>are studying</em>.,I have <em>been sleeping</em>.,He <em>was reading</em>.,<em>Are</em> you <em>getting</em> hungry?,Our neighbors <em>are being</em> unusually friendly.,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,4109988b-3e9c-5d12-a937-e31d0c76e3a7,verb,auxiliary verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used with the present participle of a verb to express future or later action,I'<em>m seeing</em> him tomorrow. [=I will see him tomorrow],We <em>are leaving</em> soon. [=we will leave soon],,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,fffcfe53-d1f7-52f6-b052-aa5904d450ad,verb,auxiliary verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used with <em>to + verb</em> to say what will happen or was going to happen in the future,The best <em>is</em> yet/still <em>to come</em>. [=the best has not yet happened],No one realized that she <em>was</em> one day <em>to become</em> famous. [=that she would become famous one day],She <em>was</em> not/never <em>to see</em> him again. [=she would never see him again],There <em>are to be</em> two concerts next week. [=there will be two concerts next week],,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,9bd7fe80-a0da-5091-a1a5-71502c6c4cc3,verb,auxiliary verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used with <em>to + verb</em> to say what should happen or be done,"People like that <em>are to be</em> pitied, not hated. [=people like that should be pitied]",You <em>are</em> not (allowed) <em>to smoke</em> in here!,What <em>am</em> I <em>to do</em>? [=what should I do?],,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,1482aea7-41d1-538f-b2e7-9b6adf9364f8,verb,auxiliary verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used in negative statements with <em>to + verb</em> to say what is or was possible,The truth of their argument <em>was not to be</em> denied. [=could not be denied],You're not to blame: you <em>weren't to know</em> he'd be offended. [=you could not have known that he would be offended],The book <em>was nowhere to be found</em>. [=could not be found],,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,2f9a82ca-fd4e-5da3-99d2-434064b0fc3d,verb,auxiliary verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used with <em>to + verb</em> to say that one thing must happen or be true so that another thing can happen or be true,He must study if he <em>is to pass</em> his exams. [=he must study in order to pass his exams],,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,be,464fca61-f9f2-4378-b0eb-d8d2709c2e9c,0e032998-ecba-512c-98a3-c981808fcd45,verb,auxiliary verb,ˈbiː,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/be000001.mp3,used like <em>have</em> with the past participle of some verbs to form perfect tenses now often considered archaic,He isn't here: he <em>is</em> [=<em>has</em>] gone.,Christ <em>is</em> risen. [=Christ has risen],,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,8e8de593-4508-564d-8ca0-3f8033f4de94,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,used to join words or groups of words,We have ice cream <em>and</em> cake for dessert.,He's feeling strong <em>and</em> healthy.,She answered quickly <em>and</em> confidently.,He swerved <em>and</em> avoided an accident.,She's the club's secretary <em>and</em> treasurer.,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,9e803e74-a696-5df6-9396-06f0c332a436,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,added to : plus,2 <em>and</em> 2 equals 4.,,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,8a3abaff-f0cc-5fac-8350-fff48e7dcb20,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,used to describe an action that is repeated or that occurs for a long time,The dog barked <em>and</em> barked.,She cried <em>and</em> cried.,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,f865eec5-86ea-5313-815d-559f321a3374,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,used to repeat a word for emphasis,You <em>and</em> you alone are responsible for correcting these errors.,There were hundreds <em>and</em> hundreds of people there.,The project is becoming more <em>and</em> more expensive.,The work is getting harder <em>and</em> harder.,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,9e25102e-6f51-55a6-9c39-21236eae659a,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,used to describe actions that occur at the same time,They walked <em>and</em> talked.,We sat <em>and</em> waited for hours.,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,6551c33d-d945-58b7-9662-9778530cefed,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,used to describe an action that occurs after another action,They drove five miles <em>and</em> stopped to eat.,He promised to come <em>and</em> didn't.,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,61b3506a-6727-59c6-b095-d2b3ee65c8a4,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,used to describe an action that occurs after and is caused by another action,I told him to go <em>and</em> he went.,,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,dd485984-ddf4-574e-8331-17de1a5f901f,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,"used after <em>go, come, try, write</em>, etc., to indicate the purpose of an action",Why don't you go/come <em>and</em> see her? [=go/come to see her],I'll try <em>and</em> do it. [=I'll try to do it],Promise that you'll write <em>and</em> tell me [=write to tell me] about your vacation.,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,dd5f2c45-18d5-5abb-ad37-d2b84214ab71,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,used to indicate a choice,You have to choose between him <em>and</em> me.,,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,e648b367-41b5-5c50-8be9-0b1de99111e9,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,used to start a new sentence or clause that continues or adds to a previous sentence or clause,"These problems have been occurring for many years, as everyone acknowledges. <em>And</em> of course they are going to continue unless something is done.",Critics of the administration—<em>and</em> there many of them—have objected to the new plan.,"""Well, I've spoken to him…"" ""<em>And</em>?"" ""<em>And</em> he said yes!""",,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,d6c321bd-9528-5020-ba7e-a1fc96c92d43,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,"used after <em>hundred</em>, <em>thousand</em>, etc., when saying a number aloud",a/one hundred <em>and</em> twenty-four [=124],"two thousand <em>and</em> sixty-five [=2,065]",,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,764635a8-0b6d-5a90-9810-7fbbf60878ba,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,used when saying aloud a number that is followed by a fraction,seven <em>and</em> three quarters [=7³/₄],One <em>and</em> a half years have passed since then. = A year <em>and</em> a half has passed since then.,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,and,ac213033-d0fb-4d32-a183-06a88758da0a,2cc32df5-11fe-56bb-b33b-cdda13610522,conjunction,,ˈænd,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/and00001.mp3,used to indicate the point where two streets meet or cross,a restaurant located at (the corner of) Main Street <em>and</em> First Avenue,,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,a,236ed67e-2f16-4f34-8fc5-5ad5dee43fdb,fcd1dd94-6dee-5aa8-9d89-6cb993a78644,noun,count; noncount,ˈeɪ,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/a0000001.mp3,the first letter of the English alphabet,a word that begins with an <em>a</em>,a word that begins with <em>a</em>,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,a,236ed67e-2f16-4f34-8fc5-5ad5dee43fdb,f92541af-4ffe-51d5-bc0e-b43eb8e87b65,noun,count; noncount,ˈeɪ,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/a0000001.mp3,a musical note or key referred to by the letter A : the sixth tone of a C-major scale,play/sing an <em>A</em>,a song in the key of <em>A</em>,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,a,236ed67e-2f16-4f34-8fc5-5ad5dee43fdb,d6f1ac92-79ec-5586-b868-733a6dfdc4f0,noun,count,ˈeɪ,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/a0000001.mp3,a grade that is given to a student for doing excellent work,She got an <em>A</em> on the exam.,He's an <em>A student</em>. [=a student who gets A's for his schoolwork],,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,a,236ed67e-2f16-4f34-8fc5-5ad5dee43fdb,178d8d92-b396-5cf5-ab6e-21a91fe7b48f,noun,noncount,ˈeɪ,https://media.merriam-webster.com/audio/prons/en/us/mp3/a/a0000001.mp3,"used to refer to the first of two or more people, places, or things that are being considered","If <em>A</em>, B, and C divide the coins equally, how many does each person get?",,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
